单词,美式音标,中文翻译,例句,例句翻译
quit,kwɪt,v. 离开；放弃；停止；使…解除；n. 离开；[计] 退出；adj. 摆脱了…的；已经了结的,He quit his job after an argument with a colleague.,他和一个同事争吵后就辞职了。
tender,'tɛndɚ,adj. 温柔的；柔软的；脆弱的；幼稚的；难对付的；n. 偿付，清偿；看管人；小船；v. 提供，偿还；使…变嫩；使…变柔软,Continue cooking until the meat is tender.,把肉一直烧到松软为止。
occasion,ə'keʒn,n. 时机，机会；场合；理由；v. 引起，惹起,His remark was the occasion of a bitter quarrel.,他的话引起了一场激烈的争吵。
dispose,dɪ'spoz,v. 处理；处置；安排；n. 处置；性情,Chinese vases are disposed around the gallery.,中国花瓶摆放在展馆四周。
transport,'trænspɔrt,n. 运输；运输机；狂喜；流放犯；v. 运输；流放；使狂喜,commuters who travel on public transport,乘坐公共交通车辆上下班的人
peer,pɪr,n. 贵族；同等的人；同龄人；v. 凝视，盯着看；窥视,American children did less well in math than their peers in Japan.,美国儿童的数学成绩不如日本的同龄儿童。
gesture,'dʒɛstʃɚ,n. 姿态；手势；v. 作手势；用动作示意,Luke made an obscene gesture with his finger.,卢克用手指做了一个下流的手势。
responsible,rɪ'spɑnsəbl,adj. 负责的，可靠的；有责任的,We are determined to bring the people responsible to justice.,我们决意要将肇事者绳之以法。
relate,rɪ'let,v. 叙述；使…有联系,I don’t understand how the two ideas relate.,我不明白这两个观点有什么联系。
immense,ɪ'mɛns,adj. 巨大的，广大的；无边无际的；非常好的,People who travel by rail still read an immense amount.,人们坐火车旅行时仍然会读很多书。
detain,dɪ'ten,v. 拘留；留住；耽搁,Two suspects have been detained by the police for questioning .,两名嫌疑人被警方拘留审问。
avert,ə'vɝt,v. 避免，防止；转移,The tragedy could have been averted if the crew had followed safety procedures.,如果乘务人员按照安全规则操作，这场悲剧是可以避免的。
idle,'aɪdl,adj. 闲置的；懒惰的；停顿的；v. 无所事事；虚度；空转,I cannot afford to leave the land lying idle.,我不能让土地闲置。
procession,prə'sɛʃən,n. 队伍，行列；一列，一排；列队行进；vi. 列队行进；vt. 沿著……行进,They marched in procession to the Capitol building.,他们列队向国会大厦行进。
adjust,ə'dʒʌst,v. 调整，使…适合；校准,Check and adjust the brakes regularly.,经常检查并调节刹车装置。
spray,spreɪ,n. 喷雾；喷雾器；水沫；v. 喷射,a new hair styling spray,一种新的定型喷发剂
obtain,əb'ten,v. 获得；流行,Evans was trying to obtain a false passport and other documents.,埃文斯当时正试图获取假护照和其他文件。
approach,ə'protʃ,n. 方法；途径；接近；v. 接近；着手处理,He decided to adopt a different approach and teach the Bible through story-telling.,他决定采用一种不同的方法，通过讲故事来教授《圣经》。
bribe,braɪb,v. 贿赂，收买；n. 贿赂,The only way we could get into the country was by bribing the border officials.,我们要进入这个国家，唯一的办法是贿赂边境官员。
grocery,'ɡrosəri,n. 食品杂货店,They run a small grocery store.,他们经营一家小食品杂货店。
confess,kən'fɛs,v. 承认；坦白；忏悔；供认,Occasionally people confess to crimes they haven’t committed just to get attention.,偶尔人们会承认自己并未犯过的罪行，那只是为了引人注意。
tenant,'tɛnənt,n. 承租人；房客；佃户；居住者；v. 租借（常用于被动语态）,The desk was left by the previous tenant.,书桌是上一个房客留下来的。
subtle,'sʌtl,adj. 微妙的；精细的；敏感的；狡猾的；稀薄的,"The pictures are similar, but there are subtle differences between them.",这些图片很相似，但它们之间有细微的差别。
spectator,'spɛktetɚ,n. 观众；旁观者,"The match attracted over 40,000 spectators.",这场比赛吸引了四万多名观众。
nasty,'næsti,adj. 下流的；肮脏的；脾气不好的；险恶的；n. 令人不快的事物,a nasty temper,坏脾气
passive,'pæsɪv,adj. 被动的，消极的；被动语态的；n. 被动语态,Kathy seems to take a very passive role in the relationship.,凯茜在这一关系中似乎扮演着十分被动的角色。
mental,'mɛntl,adj. 精神的；脑力的；疯的；n. 精神病患者,The centre provides help for people suffering from mental illness .,该中心对精神病患者提供帮助。
reap,rip,v. 收获，获得；收割；n. (Reap)人名；(英)里普,You'll soon begin to reap the benefits of being fitter.,你很快就会获得身体更健康带来的好处。
deliberately,dɪ'lɪbərətli,adv. 故意地；谨慎地；慎重地,He deliberately upset her.,他故意惹她不开心。
style,staɪl,n. 风格；时尚；类型；字体；v. 设计；称呼；使合潮流,an attempt to use Japanese management style in a European business,将日本的管理方式用于欧洲企业的尝试
consistent,kən'sɪstənt,adj. 始终如一的，一致的；坚持的,The evidence is not consistent.,证词前后不一致。
assistant,ə'sɪstənt,n. 助手，助理，助教；adj. 辅助的，助理的；有帮助的,a clerical assistant,文书助理
allocate,'æləket,v. 分配；拨出；使坐落于,Tickets are limited and will be allocated to those who apply first.,票数有限，将分配给那些先申请的人。
subordinate,səˈbɔːdɪnɪt (for n. &adj.) ; səˈbɔːdɪˌnet (for v.),n. 下属，下级；部属，属下；adj. 从属的；次要的；v. 使……居下位；使……服从,Haig tended not to seek guidance from subordinates.,黑格不想向下属们寻求指导。
suicide,'suɪsaɪd,n. 自杀；自杀行为；自杀者；adj. 自杀的；vt. 自杀；vi. 自杀,More people commit suicide at Christmas than at any other time.,圣诞节期间自杀的人比其他任何时候都多。
manageable,'mænɪdʒəbl,adj. 易管理的；易控制的；易办的,Divide the task into manageable sections.,把工作分成几个部分，方便处理。
conscious,'kɑnʃəs,adj. 意识到的；故意的；神志清醒的,The driver was still conscious when the ambulance arrived.,救护车赶到时，司机仍然神志清醒。
steady,'stɛdi,adj. 稳定的；不变的；沉着的；v. 稳固；adv. 稳定地；稳固地；n. 关系固定的情侣；固定支架,It takes a steady hand to perform surgery.,做手术手要稳。
literature,lɪtərəˌtʃʊr,n. 文学；文献；文艺；著作,He has read many of the major works of literature.,他读过许多重要的文学作品。
intellectual,",ɪntə'lɛktʃuəl",adj. 智力的；聪明的；理智的；n. 知识分子；凭理智做事者,Mark’s very intellectual.,马克很聪明。
assign,ə'saɪn,v. 分配；指派；[计][数] 赋值,The selling broker is then required to assign a portion of the commission to the buyer broker.,卖方经纪人则被要求分给买方经纪人一部分佣金。
pension,'pɛnʃən,n. 退休金，抚恤金；津贴；膳宿费；v. 发给养老金或抚恤金,At what age can you start drawing your pension ?,从多少岁可以开始领取养老金？
lag,læɡ,n. 落后；迟延；防护套；囚犯；桶板；v. 落后于；押往监狱；加上外套；adj. 最后的,We’ve had the hot-water tank lagged.,我们已给热水箱加上了保温外罩。
trend,trɛnd,n. 趋势，倾向；走向；v. 趋向，伸向,The current trend is towards more part-time employment.,当前的趋势是雇用更多的兼职人员。
essential,ɪ'sɛnʃl,adj. 基本的；必要的；本质的；精华的；n. 本质；要素；要点；必需品,The essential difference between Sam and me was the fact that I took life seriously.,我和萨姆的根本区别在于我是认真对待生活的。
impart,ɪm'pɑrt,v. 给予（尤指抽象事物），传授；告知，透露,She had information that she couldn’t wait to impart.,她得到了消息，迫不及待地想告诉别人。
casual,'kæʒʊəl,adj. 随便的；非正式的；临时的；偶然的；n. 便装；临时工人；待命士兵,Jean felt more comfortable in casual clothes .,琼穿上便服感到更舒服。
present,'prɛznt,v. 提出；介绍；呈现；赠送；adj. 现在的；出席的；n. 现在；礼物；瞄准,She was presented with an award .,她被授予一个奖项。
precede,prɪ'sid,v. 领先，在…之前；优于，高于,a type of cloud that precedes rain,下雨前出现的一种云
refrain,rɪ'fren,v. 节制，克制；避免；制止；n. 叠句，副歌；重复,Mrs. Hardie refrained from making any comment.,哈迪太太忍住了没做任何评论。
elegant,'ɛləgənt,adj. 高雅的，优雅的；讲究的；简炼的；简洁的,"a tall, elegant young woman",身材高挑、举止优雅的年轻女子
prevalent,'prɛvələnt,adj. 流行的；普遍的，广传的,the prevalent belief in astrology,对占星术的普遍相信
reasonable,'riznəbl,adj. 合理的，公道的；通情达理的,a reasonable request,合情合理的要求
witness,ˈwɪtnɪs,n. 证人；目击者；证据；v. 目击；证明；为…作证,Police have appealed for witnesses to come forward.,警方呼吁目击者站出来。
profit,'prɑfɪt,n. 利润；利益；v. 获利；有益,The shop’s daily profit is usually around $500.,这家商店每天的利润一般在500美元左右。
reign,ren,v. 统治；支配；盛行；君临；n. 统治；统治时期；支配,For several minutes confusion reigned .,有好几分钟场面大乱。
abdicate,'æbdɪket,v. 退位；放弃,King Alfonso XIII abdicated in favour of his eldest son.,国王阿方索十三世把王位让给了长子。
handy,'hændi,adj. 便利的；手边的，就近的；容易取得的；敏捷的；n. (Handy)人名；(英)汉迪,I always keep my gun handy just in case.,我总是随身带着枪以防万一。
retort,rɪ'tɔrt,n. 反驳，顶嘴；曲颈瓶；v. 反驳，反击,He was about to make a sharp retort .,他正要尖刻地反驳。
conceive,kən'siv,v. 怀孕；构思；以为；持有,Scientists first conceived the idea of the atomic bomb in the 1930’s.,在20世纪30年代，科学家第一次有了原子弹的设想。
notorious,no'tɔrɪəs,adj. 声名狼藉的，臭名昭著的,a notorious computer hacker,声名狼藉的电脑黑客
mild,maɪld,adj. 温和的；轻微的；淡味的；文雅的；不含有害物质的的；n. （英国的一种）淡味麦芽啤酒,We had an exceptionally mild winter last year.,去年冬天我们这里异常暖和。
vulgar,'vʌlɡɚ,adj. 粗俗的；通俗的；本土的；n. 平民，百姓,vulgar behaviour,粗俗的行为
aggressive,ə'ɡrɛsɪv,adj. 侵略性的；好斗的；有进取心的；有闯劲的,Jim’s voice became aggressive.,吉姆的声音凶了起来。
insult,ɪn'sʌlt,v. 侮辱；辱骂；损害；n. 侮辱；凌辱；无礼,Nobody insults my family and gets away with it!,谁也别想侮辱了我的家人之后就这么算了！
dialect,'daɪə'lɛkt,n. 方言，土话；同源语；行话；个人用语特征；adj. 方言的,the local dialect,当地方言
stroll,strol,n. 漫步；闲逛；巡回演出；v. 散步；闲逛；巡回演出,,
reality,rɪ'æləti,n. 现实；实际；真实,the distinction between fantasy and reality,幻想和现实之间的区别
clash,klæʃ,n. 冲突，不协调；碰撞声，铿锵声；v. 冲突，抵触；砰地相碰撞，发出铿锵声,The heavyweight clash goes ahead in Las Vegas on 8 May.,这次重量级拳击对战将于 5 月 8 日在拉斯维加斯举行。
premise,ˈpremɪs,v. 引出，预先提出；作为…的前提；n. 前提；上述各项；房屋连地基,Schools may earn extra money by renting out their premises.,学校通过出租房屋场地可以获取额外收入。
outweigh,'aʊt'we,v. 比…重（在重量上）；比…重要；比…有价值,The benefits of the scheme outweigh the disadvantages.,这项计划利大于弊。
prone,pron,adj. 俯卧的；有…倾向的，易于…的；n. (Prone)人名；(意、法)普罗内,His eyes shifted to the prone body on the floor.,他的视线移向了趴在地上的尸体。
strip,strɪp,v. 剥夺；剥去；脱去衣服；n. 带；条状；脱衣舞,Strip the beds and wash the sheets.,把床单撤下来清洗。
otherwise,'ʌðɚwaɪz,adv. 否则；另外；在其他方面；adj. 另外的；其他方面的；原本，本来；conj. 其他；如果不；然后,"You’ll have to go now, otherwise you’ll miss your bus.",你现在就得走，要不然就赶不上公共汽车了。
sophisticated,sə'fɪstɪketɪd,adj. 复杂的；精致的；久经世故的；富有经验的；v. 使变得世故；使迷惑；篡改（sophisticate的过去分词形式）,sophisticated software,很先进的软件
timid,'tɪmɪd,adj. 胆小的；羞怯的,I was a timid child.,我曾是个胆小的孩子。
relief,rɪ'lif,n. 救济；减轻，解除；安慰；浮雕,Marijuana can provide pain relief for some cancer patients.,大麻可以为一些癌症患者减轻疼痛。
civil,'sɪvl,adj. 公民的；民间的；文职的；有礼貌的；根据民法的；n. (Civil)人名；(土)吉维尔；(法)西维尔,They were married in a civil ceremony in May.,他们在五月份举行了世俗婚礼。
omit,ə'mɪt,v. 省略；遗漏；删除；疏忽,"Please don’t omit any details, no matter how trivial they may seem.",请不要忽略任何细节，不管它多细小。
formula,'fɔrmjələ,n. [数] 公式，准则；配方；婴儿食品,We’re still searching for a peace formula.,我们仍在寻找和平方案。
outbreak,'aʊtbrek,n. （战争的）爆发；（疾病的）发作；vi. 爆发,a cholera outbreak,霍乱的爆发
subsequent,'sʌbsɪkwənt,adj. 后来的，随后的,These skills were passed on to subsequent generations.,这些技能代代相传。
entitle,ɪn'taɪtl,v. 称做…；定名为…；给…称号；使…有权利,a documentary entitled ‘The Price of Perfection’,一部名为《完美的代价》的纪录片
glance,ɡlæns,n. 一瞥；一滑；闪光；v. 扫视，匆匆一看；反光；瞥闪，瞥见,He gave her a quick glance and smiled.,他迅速地瞥了她一眼，笑了。
float,flot,v. 使漂浮；实行；n. 彩车，花车；漂流物；浮舟；浮萍,I looked up at the clouds floating in the sky.,我仰望着天上的浮云。
exile,'ɛksaɪl,n. 流放，充军；放逐，被放逐者；流犯；v. 放逐，流放；使背井离乡,political exiles,政治流亡者
correlate,'kɔrəlet,v. 关联；n. 相关物；相关联的人；adj. 关联的,Attempts to correlate specific language functions with particular parts of the brain have not advanced very far.,试图把特定的语言功能和大脑特定区域相联系的努力还没有取得很大进展。
document,dɑkjəmənt,n. 文件，公文；[计] 文档；证件；v. 用文件证明,She produces legal documents for a downtown Seattle law firm.,她为西雅图市区的一家法律事务所撰写法律文件。
infer,ɪn'fɝ,v. 推断；推论,I inferred from what she said that you have not been well.,我从她的话里推断出你身体一直不大好。
impose,ɪm'poz,v. 利用；欺骗；施加影响,,
resentment,rɪ'zɛntmənt,n. 愤恨，怨恨,She expressed resentment at being interviewed by a social worker.,她对于被一个社会工作者面试表示了怨恨。
excited,ɪk'saɪtɪd,adj. 兴奋的；激动的；活跃的；v. 激动；唤起（excite的过去分词）,Steve flies home tomorrow – we’re all really excited.,史蒂夫明天坐飞机回家——我们都非常激动。
surrender,sə'rɛndɚ,v. 使投降；放弃；交出；听任；n. 投降；放弃；交出；屈服,"Germany surrendered on May 7th, 1945.",德国于 1945 年 5 月 7 日投降。
bias,'baɪəs,n. 偏见；偏爱；斜纹；乖离率；v. 使存偏见；adj. 偏斜的；adv. 偏斜地,Students were evaluated without bias.,对学生的评估都是公正的。
compromise,'kɑmprəmaɪz,v. 妥协；危害；n. 妥协，和解；折衷,She admitted that she was unable to compromise.,她承认自己无法作出妥协。
exert,ɪɡ'zɝt,v. 运用，发挥；施以影响,They exerted considerable influence within the school.,他们在校内施加了很大的影响力。
sane,sen,adj. 健全的；理智的；[临床] 神志正常的；n. (Sane)人名；(日)实(姓)；(日)实(名)；(芬、塞、冈、几比、塞内)萨内,He seems perfectly sane (= completely sane ) to me.,在我看来他神志完全正常。
policy,'pɑləsi,n. 政策，方针；保险单,an insurance policy,保险单
prominent,'prɑmɪnənt,adj. 突出的，显著的；杰出的；卓越的,a prominent Russian scientist,杰出的俄罗斯科学家
gratitude,'ɡrætɪtud,n. 感谢（的心情）；感激,Tears of gratitude filled her eyes.,她眼里充满感激的泪水。
optimism,'ɑptɪmɪzəm,n. 乐观；乐观主义,There are grounds for cautious optimism.,有理由保持谨慎乐观。
moist,mɔɪst,adj. 潮湿的；多雨的；含泪的；n. 潮湿,Make sure the soil is moist before planting the seeds.,播种之前要确保土壤湿润。
widespread,ˈwʌɪdsprɛd,adj. 普遍的，广泛的；分布广的,the widespread use of chemicals in agriculture,化学品在农业中的广泛使用
notify,'notə'fai,v. 通告，通知；公布,The skipper notified the coastguard of the tragedy.,船长通知了海岸警卫队这一灾难。
bother,'bɑðɚ,v. 烦扰，打扰；使……不安；使……恼怒；n. 麻烦；烦恼,"Danny, don’t bother Ellen while she’s reading.",丹尼，埃伦看书的时候不要去打扰她 。
grateful,'ɡretfl,adj. 感谢的；令人愉快的，宜人的,Our grateful thanks go to all who participated.,我们衷心感谢所有参与者。
semester,səˈmɛstɚ,n. 学期；半年,the fall semester,秋季学期
reckless,'rɛkləs,adj. 鲁莽的，不顾后果的；粗心大意的；n. (Reckless)人名；(英)雷克利斯,He was accused of causing death by reckless driving .,他被控因鲁莽驾驶致人死亡。
contribute,kən'trɪbjut,v. 贡献，出力；投稿；捐献,The three sons also contribute to the family business.,3个儿子也为家族企业做贡献。
arouse,ə'raʊz,v. 引起；唤醒；鼓励,Matt’s behavior was arousing the interest of the neighbors.,马特的行为渐渐引起了邻居的兴趣。
verdict,'vɝdɪkt,n. 结论；裁定,The verdict was ‘not guilty’.,裁决为“无罪”。
combine,kəm'baɪn,v. 使化合；使联合，使结合；n. 联合收割机；联合企业,Diets are most effective when combined with exercise.,节食和锻炼相结合是最有效的。
punctual,'pʌŋtʃʊəl,adj. 准时的，守时的；精确的,She’s always very punctual for appointments.,她一向准时赴约。
deliberate,dɪ'lɪbərət,adj. 故意的；深思熟虑的；从容的；v. 仔细考虑；商议,a deliberate attempt to humiliate her,对她的故意羞辱
spite,spaɪt,n. 不顾；恶意；怨恨；v. 刁难；使恼怒,We went out in spite of the rain.,尽管下着雨，我们还是出去了。
surgery,'sɝdʒəri,n. 外科；外科手术；手术室；诊疗室,Dr. Hanson is in surgery.,汉森医生在手术室。
paralyse,'pærəlaiz,v. 使……无力；使……麻痹；使……瘫痪,Her legs were partly paralysed in the crash.,在撞车事故中她的双腿部分瘫痪。
nevertheless,",nɛvɚðə'lɛs",adv. 然而，不过；虽然如此；conj. 然而，不过,"What you said was true. It was, nevertheless, a little unkind.",你说的都是实话，只不过有点刻薄。
output,'aʊtpʊt,n. 输出，输出量；产量；出产；v. 输出,Output is up 30% on last year.,产量比去年提高了30%。
companion,kəm'pænɪən,n. 同伴；朋友；指南；手册；v. 陪伴,For ten years he had been her constant companion .,十年来他一直陪伴她左右。
royal,'rɔɪəl,adj. 皇家的；盛大的；女王的；高贵的；第一流的；n. 王室；王室成员,the royal palace,王宫
crude,krud,adj. 粗糙的；天然的，未加工的；粗鲁的；n. 原油；天然的物质,a crude estimate of the population available for work,对劳动力人口的粗略估计
persist,pɚ'sɪst,v. 存留，坚持；持续，固执,"‘I don’t think it’s right,’ John persisted.",“我认为那不对。”约翰坚持说道。
anxiety,æŋ'zaɪəti,n. 焦虑；渴望；挂念；令人焦虑的事,his feelings of anxiety,他焦虑的心情
descendant,dɪ'sɛndənt,adj. 下降的；祖传的；n. 后裔；子孙,"If you must use descendant selectors, prefer child selectors, which at least only require evaluation of one additional node, not all the intermediate nodes up to an ancestor.",如果您必须使用后代选择器，尽量使用子代选择器，这最少只需评估一个额外的节点，而非中间直至祖先的所有节点。
diligent,'dɪlɪdʒənt,adj. 勤勉的；用功的，费尽心血的；n. (Diligent)人名；(法)迪利让,a diligent student,勤勉的学生
outset,'aʊtsɛt,n. 开始；开端,It was clear from the outset that there were going to be problems.,从一开始就很清楚会有问题出现的。
recommend,'rɛkə'mɛnd,v. 推荐，介绍；劝告；使受欢迎；托付,Doctors strongly recommend that fathers should be present at their baby’s birth.,医生极力建议孩子出生时父亲应该在场。
expend,ɪk'spɛnd,v. 花费；消耗；用光；耗尽,Children expend a lot of energy and may need more high-energy food than adults.,孩子们耗能多，可能比成人需要更多高能量的食物。
incentive,ɪn'sɛntɪv,n. 动机；刺激；adj. 激励的；刺激的,"As an added incentive, there’s a bottle of champagne for the best team.",给最优秀的队发一瓶香槟作为额外的鼓励。
textile,'tɛkstaɪl,n. 纺织品，织物；adj. 纺织的,"Their main exports are textiles, especially silk and cotton.",他们的主要出口商品是纺织品，尤其是丝绸和棉布。
suppress,sə'prɛs,v. 抑制；镇压；废止,The uprising was ruthlessly suppressed.,起义受到了残酷的镇压。
conquer,'kɑŋkɚ,v. 战胜，征服；攻克，攻取,The Normans conquered England in 1066.,诺曼人于 1066 年征服英格兰。
portray,pɔr'tre,v. 描绘；扮演,His most famous painting portrayed the death of Nelson.,他最著名的画作描绘的是纳尔逊之死。
inscribe,ɪn'skraɪb,v. 题写；题献；铭记；雕,"Inside the cover someone had inscribed the words ‘To Thomas, with love’.",在书的内封上，有人题写了“托马斯惠存”几个字。
accuse,ə'kjuz,v. 控告，指控；谴责；归咎于,The professor stands accused of (=  has been accused of  ) stealing his student’s ideas and publishing them.,那位教授被指控剽窃学生的观点拿去发表。
angle,'æŋɡl,v. 钓鱼；谋取；n. 角度，角，方面,You didn’t measure the angle accurately.,你没有量准角度。
craftsman,'kræftsmən,n. 工匠；手艺人；技工,The table in the kitchen was made by a local craftsman.,厨房里的桌子是当地一名工匠做的。
humane,hju'men,adj. 仁慈的，人道的；高尚的,the campaign for the humane treatment of criminals,提倡人道地对待罪犯的运动
brilliant,'brɪljənt,adj. 灿烂的，闪耀的；杰出的；有才气的；精彩的，绝妙的,She closed her eyes against the brilliant light .,强烈的光线下，她闭起了眼睛。
agency,'edʒənsi,n. 代理，中介；代理处，经销处,a UN agency responsible for helping refugees,负责为难民提供帮助的联合国机构
stripe,straɪp,n. 条纹，斑纹；种类；v. 加条纹于…,a shirt with black and white stripes,黑白条纹衬衫
pace,pes,n. 一步；步速；步伐；速度；v. 踱步；缓慢而行,"He quickened his pace , longing to be home.",他加快步伐，盼望着早点回到家中。
declaration,",dɛklə'reʃən",n. （纳税品等的）申报；宣布；公告；申诉书,a ceasefire declaration,停火声明
translate,træns'let,v. 翻译；转化；解释；转变为；调动,Poetry doesn’t usually translate well.,诗歌通常都译不好。
remark,rɪ'mɑrk,n. 注意；言辞；v. 评论；觉察,"Unfortunately, a local journalist overheard the remark.",不巧一名当地记者无意中听到了这些话。
sustain,sə'sten,v. 维持；支撑，承担；忍受；供养；证实,She found it difficult to sustain the children’s interest.,她发现很难保持孩子们的兴趣。
precedent,'prɛsɪdənt,n. 先例；前例；adj. 在前的；在先的,a legal precedent,判例
abnormal,æbˈnɔːrml,adj. 反常的，不规则的；变态的,abnormal behaviour,反常行为
addict,'ædɪkt (for n.); əˈdɪkt (for v.),n. 有瘾的人；入迷的人；v. 使沉溺；使上瘾,She is a TV addict and watches as much as she can.,她是一个电视迷，看尽可能多的电视。
launch,lɔntʃ,v. 发射（导弹、火箭等）；发起，发动；使…下水；n. 发射；发行，投放市场；下水；汽艇,"The organization has launched a campaign to raise $150,000.",为了筹集15万美元，该组织发起了一场募捐活动。
sensitive,'sɛnsətɪv,adj. 敏感的；感觉的；[仪] 灵敏的；感光的；易受伤害的；易受影响的；n. 敏感的人；有灵异能力的人,a very sensitive child,一个很敏感的小孩
glare,ɡlɛr,n. 刺眼；耀眼的光；受公众注目；v. 瞪眼表示,a special screen to reduce glare,一种可以减弱刺眼强光的特殊屏幕
accordingly,ə'kɔrdɪŋli,adv. 因此，于是；相应地；照著,Katherine still considered him a child and treated him accordingly.,凯瑟琳仍旧把他当作小孩子，像对待小孩子一样对他。
retain,rɪ'ten,v. 保持；雇；记住,I find it very difficult to retain facts.,我觉得具体事实很难记住。
pessimistic,",pɛsɪ'mɪstɪk",adj. 悲观的，厌世的；悲观主义的,a pessimistic view of life,对人生的悲观看法
tendency,'tɛndənsi,n. 倾向，趋势；癖好,children with aggressive or anti-social tendencies,具有攻击性倾向或反社会倾向的儿童
nuisance,'nusns,n. 讨厌的人；损害；麻烦事；讨厌的东西,The nightclub has been declared a public nuisance.,那家夜总会已被判定为妨害公众利益。
deprive,dɪ'praɪv,v. 使丧失，剥夺,They've been deprived of the fuel necessary to heat their homes.,他们无法得到住房取暖必需的燃料。
recur,rɪ'kɝ,v. 复发；重现；采用；再来；循环；递归,There is a danger that the disease may recur.,这种病有复发的危险。
opt,ɑpt,v. 选择,Depending on your circumstances you can opt for one method or the other.,根据自己的情况，你可以选择这种或那种方法。
temporary,'tɛmpə'rɛri,adj. 暂时的，临时的；n. 临时工，临时雇员,temporary pain relief,疼痛的暂时缓解
oppress,ə'prɛs,v. 压迫，压抑；使……烦恼；使……感到沉重,native tribes oppressed by the authorities,受到当局压迫的土著部落
contradiction,",kɑntrə'dɪkʃən",n. 矛盾；否认；反驳,apparent contradictions in the defendant’s testimony,被告证词中的明显矛盾
vital,'vaɪtl,adj. 至关重要的；生死攸关的；有活力的；n. (Vital)人名；(法、德、意、俄、葡)维塔尔；(西)比塔尔,Rodgers and Hart’s music sounds as fresh and vital as the day it was written.,罗杰斯与哈特的音乐现在听来还有刚写成时的那份清新和活力。
individual,",ɪndɪ'vɪdʒuəl",adj. 个人的；个别的；独特的；n. 个人，个体,Each individual leaf on the tree is different.,树上每片叶子都不相同。
convenience,kən'vinɪəns,n. 便利；厕所；便利的事物,Ready meals sell well because of their convenience.,即食餐因为方便销路好。
submit,səb'mɪt,v. 使服从；主张；呈递,"In desperation, Mrs. Jones submitted to an operation on her right knee to relieve the pain.",绝望中，琼斯夫人不得已接受了一次她右膝的手术以减轻疼痛。
energetic,",ɛnɚ'dʒɛtɪk",adj. 精力充沛的；积极的；有力的,an energetic man,精力旺盛的男子
hint,hɪnt,n. 暗示；线索；v. 暗示；示意,There have been hints that he may take up coaching.,他暗示过可能会出任教练。
certify,'sɝtə'fai,v. 证明；保证,The accounts were certified by an auditor.,这些账目经审计员核实过。
reinforce,",riɪn'fɔrs",v. 加强，加固；强化；补充；n. 加强；加固物；加固材料,The film reinforces the idea that women should be pretty and dumb.,这部影片强化了这个观点——女人要漂亮，而且要笨一些。
stadium,'stedɪəm,n. 体育场；露天大型运动场,the new Olympic Stadium,新的奥林匹克体育场
rigid,'rɪdʒɪd,adj. 严格的；僵硬的，死板的；坚硬的；精确的,rigid and authoritarian methods of education,死板、专断的教育方法
minister,'mɪnɪstɚ,n. 部长；大臣；牧师；v. 执行牧师职务；辅助或伺候某人,a senior Cabinet minister,资深的内阁部长
brutal,'brutl,adj. 残忍的；野蛮的，不讲理的,a brutal man,一个凶残的男人
benefit,'bɛnɪfɪt,n. 利益，好处；救济金；v. 有益于，对…有益,I never had the benefit of a university education.,我从未受过大学教育。
screen,skrin,n. 屏，幕；屏风；v. 筛；拍摄；放映；掩蔽,a computer with an 18-inch colour screen,带18英寸彩色屏幕的电脑
private,'praɪvət,adj. 私人的；私有的；私下的；n. 列兵；二等兵,Morris has a private jet.,莫里斯拥有一架私人喷气式飞机。
missile,'mɪsl,n. 导弹；投射物；adj. 导弹的；可投掷的；用以发射导弹的,a nuclear missile,核导弹
receipt,rɪ'sit,n. 收到；收据；收入；v. 收到,Keep your receipt in case you want to bring it back.,保留收据以备退货之需。
shortcoming,'ʃɔrtkʌmɪŋ,n. 缺点；短处,Peter was painfully aware of his own shortcomings.,彼得痛苦地认识到了自己的短处。
adapt,ə'dæpt,v. 使适应；改编,The ability to adapt is a definite asset in this job.,适应能力是做这份工作的绝对有利条件。
symphony,'sɪmfəni,n. 交响乐；谐声，和声,Bruckner’s Fifth Symphony,布鲁克纳的《第五交响曲》
shelter,'ʃɛltɚ,n. 庇护；避难所；遮盖物；v. 保护；使掩蔽,The men took shelter in a bombed-out farmhouse.,那些男人躲在一间被炸毁的农舍里。
poison,'pɔɪzn,v. 污染；使中毒，放毒于；败坏；阻碍；n. 毒药，毒物；酒；有毒害的事物；[助剂] 抑制剂；adj. 有毒的,"She was accused in 1974 of poisoning her second husband, Charles.",1974 年她被控毒死了她的第二任丈夫查尔斯。
thrill,θrɪl,n. 激动；震颤；紧张；v. 使…颤动；使…紧张；使…感到兴奋或激动,Winning first place must have been quite a thrill.,赢得第一名肯定让人非常激动。
abundance,ə'bʌndəns,n. 充裕，丰富,This area of Mexico has an abundance of safe beaches and a pleasing climate.,墨西哥的这个地区有大量的安全沙滩与宜人的气候。
loyal,'lɔɪəl,adj. 忠诚的，忠心的；忠贞的；n. 效忠的臣民；忠实信徒,a loyal supporter of the team,球队的忠实支持者
intervene,",ɪntɚ'vin",v. 干涉；调停；插入,The army will have to intervene to prevent further fighting.,军队将不得不干预以阻止进一步的战斗。
intrude,ɪn'trʊd,v. 把…强加；把…硬挤,,
inhabit,ɪn'hæbɪt,v. 栖息；居住于；占据,The woods are inhabited by many wild animals.,很多野生动物栖居在这片森林里。
abuse,ə'bjus,n. 滥用；虐待；辱骂；弊端；恶习，陋习；v. 滥用；虐待；辱骂,several cases of child abuse,数宗虐待儿童案
